iter	R2	RMSE	MAE
0	-1.873068565	411561.3646	333263.3787
1	-1.76837861	403993.4704	324369.754
2	-1.664559766	396345.8692	315673.7327
3	-1.568220609	389114.8154	307329.2247
4	-1.474871207	381977.6081	299420.2777
5	-1.387821015	375199.7051	291625.6159
6	-1.308712995	368932.2131	284672.3552
7	-1.229739585	362567.3358	277634.3022
8	-1.155341372	356467.2502	270978.5225
9	-1.081878222	350339.6279	264528.0244
10	-1.016509273	344795.6	258649.3797
11	-0.9521831911	339251.5869	252942.6477
12	-0.8924015962	334016.7578	247511.4314
13	-0.839657454	329329.0835	242698.0529
14	-0.7857934234	324471.9904	237819.0921
15	-0.7331591089	319654.4983	233037.8398
16	-0.6841452968	315102.1611	228436.6162
17	-0.6351911848	310488.7521	224033.3878
18	-0.5921955454	306379.5723	220142.2556
19	-0.55062461	302353.4577	216363.2547
20	-0.5112206756	298487.0863	212752.4465
21	-0.4733934627	294727.712	209320.3917
22	-0.4349056817	290852.8214	205822.7043
23	-0.4015385226	287451.198	202786.0471
24	-0.3679333813	283984.1341	199810.9397
25	-0.3385675121	280919.4073	197149.3447
26	-0.3079951731	277692.8348	194404.0803
27	-0.2814755649	274863.3074	192067.0978
28	-0.2517656341	271658.3856	189383.2791
29	-0.2269505847	268952.2236	187197.0406
30	-0.2016335586	266162.9661	185082.6319
31	-0.1789662386	263640.5977	183208.1788
32	-0.1547233014	260915.9136	181176.8062
33	-0.1319574047	258331.0717	179210.6441
34	-0.1110920235	255939.0881	177451.2446
35	-0.09046279508	253551.9936	175823.2693
36	-0.07263732247	251471.0849	174346.7324
37	-0.05367839601	249238.794	172661.4449
38	-0.03662001788	247213.0535	171228.8328
39	-0.01996709526	245219.3201	169858.988
40	-0.004242123719	243321.6879	168616.4946
41	0.01037083886	241544.8851	167498.6465
42	0.0261964041	239605.78	166208.5128
43	0.0402043824	237876.1959	165098.0233
44	0.05444290585	236105.1619	163926.1384
45	0.06744006294	234476.855	162886.157
46	0.07956299648	232947.8134	161946.5952
47	0.09040805473	231571.392	161102.824
48	0.1019140757	230102.082	160174.9038
49	0.1119111308	228817.8058	159412.4375
50	0.1215165266	227577.0173	158751.6402
51	0.1321391768	226196.8982	157923.245
52	0.1408892308	225053.7143	157281.1178
53	0.15072067	223762.281	156518.4612
54	0.1607445924	222437.8442	155690.5761
55	0.1691875506	221316.1472	155027.2574
56	0.1767398723	220307.9373	154486.4631
57	0.1845634263	219258.6302	153881.7334
58	0.1922641945	218220.8639	153272.5437
59	0.1998087423	217199.3416	152669.9847
60	0.2091144343	215932.7064	151920.2412
61	0.2157909403	215019.3432	151429.4917
62	0.2233759535	213976.9634	150859.123
63	0.2294861294	213133.5575	150404.5575
64	0.2353202397	212325.1311	150029.2876
65	0.241637861	211446.2195	149611.7019
66	0.2485493392	210480.4864	149075.1741
67	0.2545727983	209635.207	148662.4462
68	0.2607186353	208769.2268	148260.162
69	0.2655291982	208088.8792	147961.8241
70	0.2703221078	207408.8089	147687.7338
71	0.276006419	206599.3549	147281.678
72	0.2805907876	205944.2168	146998.0628
73	0.284877713	205329.694	146736.5221
74	0.2891358292	204717.4749	146502.5283
75	0.2939259722	204026.5668	146189.9388
76	0.2982560974	203399.99	145885.5681
77	0.3018914075	202872.4598	145676.0605
78	0.3057585656	202309.7756	145462.814
79	0.3100815524	201678.9084	145135.8151
80	0.3140812948	201093.4507	144882.0292
81	0.3183310989	200469.517	144632.9838
82	0.3213861038	200019.7949	144488.2344
83	0.3247188001	199528.0383	144328.8988
84	0.3283019763	198997.9665	144133.9986
85	0.3322397038	198413.8115	143902.7503
86	0.3371673501	197680.372	143520.0664
87	0.3400229221	197254.0956	143350.3235
88	0.3437207576	196700.7145	143131.8339
89	0.3462896802	196315.3569	143008.3935
90	0.3504242363	195693.5491	142698.4218
91	0.3529217006	195316.9892	142585.9849
92	0.3553567234	194949.1438	142469.9807
93	0.3584499175	194480.8688	142262.735
94	0.3616323118	193997.9102	142002.0865
95	0.3649448048	193493.9275	141711.8175
96	0.3678919057	193044.4317	141494.4971
97	0.3705062745	192644.8068	141367.0235
98	0.3733256204	192212.9186	141180.0984
99	0.3771445649	191626.3523	140859.288
